Serial Number,PSK,Device Group,Name,OS Version,Device Type,Split Port,isp1_intf_name,isp2_intf_name,lan_intf_name,lan_intf_ip,lan_intf_network_mask,isp1_intf_ip,isp1_intf_network_mask,isp1_gateway,isp2_intf_ip,isp2_intf_network_mask,isp2_gateway,hostname,mgmt_dst_fmg_ip_networkmask,mgmt_dst_gateway_ip,mgmt_port_name
FGT80FTK23024584,,Hub_grp,hub1_lab130,7.6,FortiGate-80F,Y,internal1,internal2,internal3,192.168.1.1,255.255.255.0,10.15.1.2,255.255.255.0,10.15.1.1,10.16.1.2,255.255.255.0,10.16.1.1,hub1_lab130,10.3.135.1/32,10.3.134.1,wan1
FGT80FTK23021851,,Hub_grp,hub2_lab130,7.6,FortiGate-80F,Y,internal1,internal2,internal3,192.168.1.2,255.255.255.0,10.17.1.2,255.255.255.0,10.17.1.1,10.18.1.2,255.255.255.0,10.18.1.1,hub2_lab130,10.3.135.1/32,10.3.134.1,wan1
FG200FT922952477,,branch_grp1,branch1_lab130,7.6,FortiGate-200F,Y,port1,port2,port3,10.1.3.1,255.255.255.0,10.11.1.2,255.255.255.0,10.11.1.1,10.12.1.2,255.255.255.0,10.12.1.1,branch1_lab130,10.3.135.1/32,10.3.134.1,mgmt
FG200FT922952594,fortinet4,branch_grp1,branch2_lab130,7.6,FortiGate-200F,Y,port1,port2,port3,10.1.4.1,255.255.255.0,10.13.1.2,255.255.255.0,10.13.1.1,10.14.1.2,255.255.255.0,10.14.1.1,branch2_lab130,10.3.135.1/32,10.3.134.1,mgmt
